Node,Degree
2151103935,144
1676552347,32
2011891945,18
2024668293,34
2096077837,15
2096600681,19
2109863423,35
2111308925,47
2124087378,35
2124386111,69
2124404372,31
2154422044,60
2169351022,16
2427881153,37
2911964244,47
1605688901,16
1975846642,42
2112076978,50
2113242816,20
2120240539,14
2152761983,41
2912934387,64
2153635508,66
1510526001,11
2056983531,3
2087347434,61
2104978738,33
2115694019,10
2119821739,65
2124351082,28
2132870739,25
2151040995,14
2157239837,9
2161920802,24
2172000360,20
1791587663,122
1972888601,7
1988410705,7
2037021532,10
2092488901,6
2127455238,25
2154579312,21
2103441770,15
2055666215,12
2108234281,15
2128591967,9
2139760555,5
2158322625,8
2126105956,27
225560312,8
1558919105,16
1572960541,13
1606791384,8
1612556207,17
1905847227,20
2116661285,26
2125899728,29
2140066605,23
2152551290,24
2155019998,17
2146058063,7
2117443107,4
2150297520,8
2161444534,4
2145023731,54
1968245656,24
2161969291,102
1608462934,29
1992825118,24
2121899951,33
2145072179,25
2152473410,33
2172188317,39
2177274842,51
2171074980,16
2022772618,11
2026258334,7
1880262756,66
1516111018,27
1956559956,76
2020842694,17
2063392856,19
2097089247,37
2107743791,28
2147152072,80
2172085063,6
2137015675,6
2106258670,2
2149208773,3
1686810756,61
1487583988,35
1527575280,28
1606858007,31
1799366690,22
2037227137,30
2102605133,80
2108598243,81
2147800946,71
2155904486,38
2161381512,39
2168231600,36
2179352600,56
2950179405,45
2952186347,18
2952186574,35
2953360861,35
2963173190,29
1522301498,29
6908809,14
104184427,26
1810943226,29
1904365287,52
2113459411,16
2146502635,36
2148825261,11
2160815625,24
2950689855,10
2133665775,28
2053691921,30
2107790757,39
2142276208,16
2153777140,7
2168078737,6
2121863487,39
1538558539,3
1569320505,12
1570802136,16
1639032689,104
2100677568,28
2138178898,21
2132629607,9
1592950931,1
2095724872,5
2127648442,10
2131736388,18
2163605009,65
1665214252,35
2015861736,13
2110764733,50
2130325614,43
2134557905,33
2156163116,16
2166049352,28
2546302380,54
2132984323,62
1667165204,31
2043583598,8
2109808436,2
2139797453,9
2158270878,9
2064675550,60
2107878631,29
2296616510,86
1986931325,67
2097323375,23
2099641086,24
2113945798,31
2116148865,33
2129131372,44
2129638195,35
2134929491,17
2136235822,19
2145096794,56
2147656689,29
2151693816,39
2158537680,8
2162409952,25
2194775991,49
1530872699,7
1533861849,26
1536680647,31
1677182931,48
1836465849,25
1861492603,43
1903029394,48
1976921161,23
1984309565,31
2031489346,66
2066941820,14
2097117768,48
2117539524,93
2124509324,25
2147238549,18
2155893237,42
2294059674,30
2613718673,22
2618530766,89
2952122856,40
2100379340,48
1480415088,40
1497226654,29
1548408014,48
1587451402,25
1593544550,24
1644620247,30
1987198869,75
1994279764,26
2008441192,59
2032661354,24
2098685541,30
2100408980,70
2126512988,33
2130801612,43
2162061662,18
2166982098,47
2104095591,60
2045798786,19
2139762693,19
1595159159,23
2027945080,12
2133990480,12
2060772621,8
2110119381,12
2118585731,25
2119885577,7
2123663722,2
2135514714,5
2150757437,16
2173213060,57
1510543252,6
2045271686,13
2058972589,11
2073965851,14
2104644701,13
2109722477,15
2119565742,41
2122465391,19
2143462372,7
2148317584,20
2159080219,93
1493596129,9
1512921847,3
1646038686,4
1969483458,10
1979622972,21
1991477862,8
1996347293,17
1998363560,9
2012170877,9
2094159214,9
2108309071,11
2113677269,5
2119456262,11
2140627345,10
2143075689,13
2144386448,15
2147096558,15
2148417962,6
2155322595,23
2157368609,7
2163166770,14
2478175895,8
2914728526,3
2915007872,8
2945259913,15
2139212933,52
1663792126,11
2055522016,19
2076118331,37
2123737232,10
2137226992,11
2140095548,55
2156909104,120
2124637492,32
2019789576,5
2041258965,2
2059092337,6
2022950330,8
2011805684,2
2101234009,6
2146292423,6
2164598857,74
1988790447,73
1991605728,36
2089597841,14
2115763357,20
2128272608,40
2143425433,12
2155511848,30
2159686933,30
2217896605,47
2141885858,67
2003144438,22
2061833373,4
2096525273,90
2110041134,31
2163181687,19
2166559705,59
1556507321,14
2019363670,40
2100406636,18
2149706766,60
2137401668,56
1619226191,28
2148606196,59
1527463082,13
1535065339,6
1654211971,15
1659541576,8
1966553486,34
1967140769,5
1976969221,37
1977545325,24
1992419399,53
1997698259,5
1998692453,6
2044881936,12
2056380633,3
2066636486,65
2080450835,4
2091476183,4
2097147952,15
2102931907,19
2124486211,6
2124591829,42
2125297759,5
2128678576,11
2129620481,18
2138621811,43
2154454189,13
2155048531,11
2175110005,21
2341865734,24
1981202432,26
2006119904,18
2029341294,7
2160484851,10
1996360405,79
1981455414,14
2012857639,14
2156186849,91
2107080958,39
2118040894,49
2044591029,3
2140886907,3
2141125852,20
2949650786,51
2137983211,36
2103496339,28
2049981393,36
1988874269,14
1989871863,14
2034966370,3
2078263033,3
2154204736,13
2154422144,8
2166316739,6
1520252399,8
1676820704,29
1966280301,21
2070534370,14
2165758113,27
1528789833,23
1997011019,19
2115733720,26
2128017662,48
2141282920,18
2145607950,43
2166742463,23
2172191903,21
2146396346,10
2017519756,11
2051043527,1
